('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         617079 function calls (591908 primitive calls) in 6.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      312    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       22    0.001    0.000    0.006    0.000 response.py:87(decompress)
       22    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    36/11    0.001    0.000    0.188    0.017 {method 'join' of 'bytes' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     1086    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      204    0.001    0.000    0.111    0.001 sre_compile.py:759(compile)
     4426    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1735    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1262    0.001    0.000    0.010    0.000 __init__.py:735(handle_endtag)
     2787    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_md5}
      204    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
     3727    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      900    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
       66    0.001    0.000    0.001    0.000 element.py:2011(__init__)
      187    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1262    0.001    0.000    0.011    0.000 _htmlparser.py:177(handle_endtag)
     1062    0.001    0.000    0.001    0.000 typing.py:709(__setattr__)
    187/3    0.001    0.000    0.367    0.122 <frozen importlib._bootstrap>:663(_load_unlocked)
     7779    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
     5637    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3028    0.001    0.000    0.001    0.000 element.py:1906(descendants)
    212/3    0.001    0.000    0.368    0.123 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1262    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1377    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      820    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      426    0.001    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
      204    0.001    0.000    0.071    0.000 sre_parse.py:913(parse)
     6342    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      900    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
     6438    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     2753    0.001    0.000    0.005    0.000 {built-in method builtins.next}
    156/3    0.001    0.000    0.367    0.122 <frozen importlib._bootstrap_external>:722(exec_module)
     1017    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
      156    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.001    0.001    0.001    0.001 ssl.py:801(SSLSocket)
      204    0.001    0.000    0.001    0.000 enum.py:841(__and__)
      271    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      158    0.000    0.000    1.041    0.007 socket.py:575(readinto)
     3974    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      146    0.000    0.000    0.002    0.000 typing.py:608(__init__)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1792    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  634/615    0.000    0.000    0.004    0.000 typing.py:248(inner)
