('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         613439 function calls (588578 primitive calls) in 1.106 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    201/3    0.001    0.000    0.238    0.079 <frozen importlib._bootstrap>:1022(_find_and_load)
     3048    0.001    0.000    0.001    0.000 element.py:1906(descendants)
     1274    0.001    0.000    0.012    0.000 _htmlparser.py:177(handle_endtag)
      270    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      195    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      434    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
     6122    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      195    0.001    0.000    0.118    0.001 sre_compile.py:759(compile)
      812    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
     3691    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4211    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
      151    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     7705    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     6475    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
     6417    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     2772    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      178    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1274    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
       11    0.001    0.000    0.208    0.019 {method 'join' of 'bytes' objects}
     1360    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
    178/3    0.001    0.000    0.237    0.079 <frozen importlib._bootstrap>:664(_load_unlocked)
      279    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      883    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     2464    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2731    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    200/3    0.001    0.000    0.238    0.079 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1003    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      800    0.001    0.000    0.001    0.000 typing.py:972(__setattr__)
      195    0.001    0.000    0.075    0.000 sre_parse.py:937(parse)
       12    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
     4993    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      434    0.001    0.000    0.002    0.000 element.py:934(__new__)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
     1275    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      270    0.000    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       26    0.000    0.000    0.005    0.000 response.py:87(decompress)
     1899    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      151    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      859    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      175    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
     1041    0.000    0.000    0.001    0.000 element.py:1489(get)
      434    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
      883    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      603    0.000    0.000    0.004    0.000 enum.py:359(__call__)
      156    0.000    0.000    0.570    0.004 socket.py:691(readinto)
    150/3    0.000    0.000    0.237    0.079 <frozen importlib._bootstrap_external>:877(exec_module)
      339    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
       18    0.000    0.000    0.546    0.030 __init__.py:1(<module>)
      195    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     1275    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
    152/1    0.000    0.000    1.106    1.106 {built-in method builtins.exec}
       16    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
      541    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      384    0.000    0.000    0.001    0.000 element.py:1363(_all_strings)
       98    0.000    0.000    0.002    0.000 typing.py:1002(__init__)
      195    0.000    0.000    0.042    0.000 sre_compile.py:598(_code)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
  217/181    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1205    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      150    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      800    0.000    0.000    0.001    0.000 typing.py:921(_is_dunder)
     1274    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2498    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1390    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      156    0.000    0.000    0.570    0.004 ssl.py:1262(recv_into)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
  623/606    0.000    0.000    0.004    0.000 typing.py:305(inner)
