Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370138 function calls (351454 primitive calls) in 2.082 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      320    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      313    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      298    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      279    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      279    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      279    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      279    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      273    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      268    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      268    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      253    0.001    0.000    0.120    0.000 re.py:288(_compile)
      252    0.000    0.000    0.120    0.000 re.py:249(compile)
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      241    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      241    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      233    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    226/3    0.000    0.000    0.237    0.079 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      225    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      223    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      218    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      208    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
  206/173    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      200    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
    200/3    0.001    0.000    0.238    0.079 <frozen importlib._bootstrap>:1022(_find_and_load)
    199/3    0.001    0.000    0.238    0.079 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
  198/159    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      198    0.000    0.000    0.000    0.000 __init__.py:83(find_spec)
      196    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      196    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
      196    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      188    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      187    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      187    0.000    0.000    0.001    0.000 enum.py:986(__and__)
