Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      445    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      175    0.001    0.000    0.001    0.000 typing.py:146(_type_check)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
    151/1    0.001    0.000    2.634    2.634 {built-in method builtins.exec}
      268    0.000    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
 1894/736    0.000    0.000    0.033    0.000 {built-in method builtins.hasattr}
    149/3    0.000    0.000    0.343    0.114 <frozen importlib._bootstrap_external>:877(exec_module)
      854    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.000    0.000    0.710    0.039 __init__.py:1(<module>)
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      149    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1372    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.009    0.009 packages.py:1(<module>)
      537    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
       98    0.000    0.000    0.002    0.000 typing.py:1002(__init__)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
      879    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      800    0.000    0.000    0.001    0.000 typing.py:921(_is_dunder)
      339    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      568    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      177    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      187    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      935    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       16    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
      813    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      187    0.000    0.000    0.042    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
  623/606    0.000    0.000    0.005    0.000 typing.py:305(inner)
  206/173    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      813    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      241    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      558    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      187    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      596    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      308    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      233    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      320    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      198    0.000    0.000    0.001    0.000 __init__.py:83(find_spec)
      171    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
     1254    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      200    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      167    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      187    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      403    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      279    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      715    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      196    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
     1254    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  150/149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
    226/3    0.000    0.000    0.330    0.110 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        3    0.000    0.000    0.050    0.017 utils.py:1(<module>)
       99    0.000    0.000    0.000    0.000 typing.py:205(_collect_type_vars)
      465    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       39    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
     1665    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      737    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      225    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      187    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
    90/53    0.000    0.000    0.192    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      374    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      279    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       92    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       31    0.000    0.000    0.001    0.000 typing.py:482(Union)
       39    0.000    0.000    0.002    0.000 typing.py:1121(__getitem__)
      484    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      313    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      279    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      188    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      483    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      252    0.000    0.000    0.120    0.000 re.py:249(compile)
      223    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      910    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    38/17    0.000    0.000    0.225    0.013 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
